date,sector,open,close
2020-01-06,COMMUNICATION_SERVICES,99.40,100.00
2020-01-07,COMMUNICATION_SERVICES,100.40,101.80
2020-01-08,COMMUNICATION_SERVICES,101.20,101.10
2020-01-06,CONSUMER_DISCRETIONARY,106.40,107.00
2020-01-07,CONSUMER_DISCRETIONARY,107.40,108.80
2020-01-08,CONSUMER_DISCRETIONARY,108.20,108.10
2020-01-06,CONSUMER_STAPLES,113.40,114.00
2020-01-07,CONSUMER_STAPLES,114.40,115.80
2020-01-08,CONSUMER_STAPLES,115.20,115.10
2020-01-06,ENERGY,120.40,121.00
2020-01-07,ENERGY,121.40,122.80
2020-01-08,ENERGY,122.20,122.10
2020-01-06,FINANCIALS,127.40,128.00
2020-01-07,FINANCIALS,128.40,129.80
2020-01-08,FINANCIALS,129.20,129.10
2020-01-06,HEALTH_CARE,134.40,135.00
2020-01-07,HEALTH_CARE,135.40,136.80
2020-01-08,HEALTH_CARE,136.20,136.10
2020-01-06,INDUSTRIALS,141.40,142.00
2020-01-07,INDUSTRIALS,142.40,143.80
2020-01-08,INDUSTRIALS,143.20,143.10
2020-01-06,INFORMATION_TECHNOLOGY,148.40,149.00
2020-01-07,INFORMATION_TECHNOLOGY,149.40,150.80
2020-01-08,INFORMATION_TECHNOLOGY,150.20,150.10
2020-01-06,MATERIALS,155.40,156.00
2020-01-07,MATERIALS,156.40,157.80
2020-01-08,MATERIALS,157.20,157.10
2020-01-06,REAL_ESTATE,162.40,163.00
2020-01-07,REAL_ESTATE,163.40,164.80
2020-01-08,REAL_ESTATE,164.20,164.10
2020-01-06,UTILITIES,169.40,170.00
2020-01-07,UTILITIES,170.40,171.80
2020-01-08,UTILITIES,171.20,171.10
