date,sector,open,close
2020-02-05,FOODS,55.08,54.37
2020-02-05,ENERGY_RESOURCES,58.59,56.68
2020-02-05,CONSTRUCTION_MATERIALS,62.09,60.09
2020-02-05,RAW_MATERIALS_CHEMICALS,65.60,63.50
2020-02-05,PHARMACEUTICALS,69.10,68.27
2020-02-05,AUTOMOBILES_TRANSPORTATION,72.61,70.32
2020-02-05,STEEL_NONFERROUS,76.11,73.73
2020-02-05,MACHINERY,79.62,77.15
2020-02-05,ELECTRIC_APPLIANCES_PRECISION,83.12,80.56
2020-02-05,IT_SERVICES_OTHERS,86.63,83.98
2020-02-05,ELECTRIC_POWER_GAS,90.14,89.19
2020-02-05,TRANSPORTATION_LOGISTICS,93.64,90.83
2020-02-05,COMMERCIAL_WHOLESALE_TRADE,97.15,94.25
2020-02-05,RETAIL_TRADE,100.65,97.68
2020-02-05,BANKS,104.16,101.10
2020-02-05,FINANCIALS_EX_BANKS,107.66,104.53
2020-02-05,REAL_ESTATE,111.17,107.96
2020-02-06,FOODS,54.45,54.12
2020-02-06,ENERGY_RESOURCES,56.77,55.69
2020-02-06,CONSTRUCTION_MATERIALS,60.18,59.05
2020-02-06,RAW_MATERIALS_CHEMICALS,63.59,62.42
2020-02-06,PHARMACEUTICALS,68.38,68.03
2020-02-06,AUTOMOBILES_TRANSPORTATION,70.42,69.16
2020-02-06,STEEL_NONFERROUS,73.84,72.54
2020-02-06,MACHINERY,77.26,75.91
2020-02-06,ELECTRIC_APPLIANCES_PRECISION,80.69,79.30
2020-02-06,IT_SERVICES_OTHERS,84.11,82.68
2020-02-06,ELECTRIC_POWER_GAS,89.32,89.01
2020-02-06,TRANSPORTATION_LOGISTICS,90.96,89.47
2020-02-06,COMMERCIAL_WHOLESALE_TRADE,94.39,92.86
2020-02-06,RETAIL_TRADE,97.82,96.26
2020-02-06,BANKS,101.26,99.67
2020-02-06,FINANCIALS_EX_BANKS,104.69,103.07
2020-02-06,REAL_ESTATE,108.13,106.48
2020-02-07,FOODS,54.20,54.15
2020-02-07,ENERGY_RESOURCES,55.77,55.61
2020-02-07,CONSTRUCTION_MATERIALS,59.14,58.98
2020-02-07,RAW_MATERIALS_CHEMICALS,62.51,62.36
2020-02-07,PHARMACEUTICALS,68.14,68.14
2020-02-07,AUTOMOBILES_TRANSPORTATION,69.26,69.13
2020-02-07,STEEL_NONFERROUS,72.64,72.52
2020-02-07,MACHINERY,76.03,75.92
2020-02-07,ELECTRIC_APPLIANCES_PRECISION,79.42,79.32
2020-02-07,IT_SERVICES_OTHERS,82.81,82.73
2020-02-07,ELECTRIC_POWER_GAS,89.14,89.28
2020-02-07,TRANSPORTATION_LOGISTICS,89.60,89.56
2020-02-07,COMMERCIAL_WHOLESALE_TRADE,93.00,92.98
2020-02-07,RETAIL_TRADE,96.41,96.41
2020-02-07,BANKS,99.82,99.85
2020-02-07,FINANCIALS_EX_BANKS,103.23,103.28
2020-02-07,REAL_ESTATE,106.64,106.73
2020-02-10,FOODS,54.23,54.39
2020-02-10,ENERGY_RESOURCES,55.69,56.36
2020-02-10,CONSTRUCTION_MATERIALS,59.07,59.80
2020-02-10,RAW_MATERIALS_CHEMICALS,62.45,63.24
2020-02-10,PHARMACEUTICALS,68.24,68.51
2020-02-10,AUTOMOBILES_TRANSPORTATION,69.23,70.14
2020-02-10,STEEL_NONFERROUS,72.63,73.60
2020-02-10,MACHINERY,76.03,77.06
2020-02-10,ELECTRIC_APPLIANCES_PRECISION,79.44,80.54
2020-02-10,IT_SERVICES_OTHERS,82.85,84.02
2020-02-10,ELECTRIC_POWER_GAS,89.41,89.90
2020-02-10,TRANSPORTATION_LOGISTICS,89.69,91.00
2020-02-10,COMMERCIAL_WHOLESALE_TRADE,93.12,94.50
2020-02-10,RETAIL_TRADE,96.56,98.01
2020-02-10,BANKS,100.00,101.53
2020-02-10,FINANCIALS_EX_BANKS,103.44,105.05
2020-02-10,REAL_ESTATE,106.89,108.58
2020-02-11,FOODS,54.47,54.91
2020-02-11,ENERGY_RESOURCES,56.45,58.03
2020-02-11,CONSTRUCTION_MATERIALS,59.89,61.58
2020-02-11,RAW_MATERIALS_CHEMICALS,63.33,65.14
2020-02-11,PHARMACEUTICALS,68.61,69.23
2020-02-11,AUTOMOBILES_TRANSPORTATION,70.24,72.28
2020-02-11,STEEL_NONFERROUS,73.71,75.87
2020-02-11,MACHINERY,77.18,79.46
2020-02-11,ELECTRIC_APPLIANCES_PRECISION,80.66,83.06
2020-02-11,IT_SERVICES_OTHERS,84.14,86.67
2020-02-11,ELECTRIC_POWER_GAS,90.04,90.98
2020-02-11,TRANSPORTATION_LOGISTICS,91.14,93.92
2020-02-11,COMMERCIAL_WHOLESALE_TRADE,94.64,97.56
2020-02-11,RETAIL_TRADE,98.16,101.20
2020-02-11,BANKS,101.68,104.86
2020-02-11,FINANCIALS_EX_BANKS,105.21,108.52
2020-02-11,REAL_ESTATE,108.74,112.20
2020-02-12,FOODS,54.99,55.10
2020-02-12,ENERGY_RESOURCES,58.12,59.91
2020-02-12,CONSTRUCTION_MATERIALS,61.67,63.59
2020-02-12,RAW_MATERIALS_CHEMICALS,65.24,67.28
2020-02-12,PHARMACEUTICALS,69.34,69.54
